orig_address,orig_city,orig_state,orig_country,subpremise,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code,lat,lng,partial_match
 214 East 7th Street,Jasper,IN,47546,"",214,East 7th Street,Jasper,Dubois County,Indiana,United States,47546,38.392408,-86.9291779,false
 204 W. Main St,Saint Clairsville,OH,43950,"",204,West Main Street,Saint Clairsville,Belmont County,Ohio,United States,43950,40.0794003,-80.9051976,false
 10460 Rd. 561,Philadelphia,MS,39350,"",10460,Road 561,Philadelphia,Neshoba County,Mississippi,United States,39350,32.8097153,-89.1029185,true
 517 North Street,Louisville,MS,39339,"",517,North Street,Louisville,Winston County,Mississippi,United States,39339,33.120849,-89.0593174,false
 898 Hwy 441 South,Clayton,GA,30525,"",898,U.S. 441,Clayton,Rabun County,Georgia,United States,30525,34.8664283,-83.4045088,true
 402 3rd Street,Effingham,KS,66023,"",402,3rd Street,Effingham,Atchison County,Kansas,United States,66023,39.5188035,-95.4011001,false
 800 Kansas,Atchison,KS,66002,"",800,Kansas Avenue,Atchison,Atchison County,Kansas,United States,66002,39.5629695,-95.1235736,true
 622 E Street,Snyder,OK,73566,"",622,E Street,Snyder,Kiowa County,Oklahoma,United States,73566,34.65967330000001,-98.9517808,false
 1502 Fort Sill Blvd.,Lawton,OK,73507,"",1502,Northwest Fort Sill Boulevard,Lawton,Comanche County,Oklahoma,United States,73507,34.62460300000001,-98.405221,true
 219 Kinderkamack Road,Westwood,NJ,7675,"",219,Kinderkamack Road,Westwood,Bergen County,New Jersey,United States,07675,40.9895839,-74.0272047,true
 518 Cole Ave,Fletcher,OK,73541,"",518,Cole Avenue,Fletcher,Comanche County,Oklahoma,United States,73541,34.8227587,-98.2461482,false
 204 E. 15th Street,South Sioux City,NE,68776,"",204,East 15th Street,South Sioux City,Dakota County,Nebraska,United States,68776,42.4752824,-96.4122601,false
 405 5th Avenue S,Edmonds,WA,98020,"",405,5th Avenue South,Edmonds,Snohomish County,Washington,United States,98020,47.807861,-122.377083,false
 121 W Bramley,Jetmore,KS,67854,"",121,West Bramley Street,Jetmore,Hodgeman County,Kansas,United States,67854,38.0835791,-99.89394039999999,true
 1318 W. Green Street,Tallulah,LA,71282,"",1318,West Green Street,Tallulah,Madison Parish,Louisiana,United States,71282,32.4161101,-91.2038268,false
 517 East Washington Street,Arma,KS,66712,"",517,East Washington Street,Arma,Crawford County,Kansas,United States,66712,37.5442431,-94.699488,false
 167 Great Road,Bedford,MA,1730,"",167,Great Road,Bedford,Middlesex County,Massachusetts,United States,01730,42.4897834,-71.2746982,true
 212 Main Street,Matawan,NJ,7747,"",212,Main Street,Matawan,Monmouth County,New Jersey,United States,07747,40.411554,-74.23257300000002,true
 61 Broad,Keyport,NJ,7735,"",61,Broad Street,Keyport,Monmouth County,New Jersey,United States,07735,40.4372204,-74.2015596,true
 87 S. Cliff St,Ansonia,CT,6401,"",87,South Cliff Street,Ansonia,New Haven County,Connecticut,United States,06401,41.344467,-73.0762249,true
 410 Campbell Ave,West Haven,CT,6516,"",410,Campbell Avenue,West Haven,New Haven County,Connecticut,United States,06516,41.2698277,-72.94971439999999,true
 48 Cook Ave,Meriden,CT,6450,"",48,Cook Avenue,Meriden,New Haven County,Connecticut,United States,06451,41.536778,-72.8073402,true
 2300 Whitney Avenue,Hamden,CT,6518,"",2300,Whitney Avenue,Hamden,New Haven County,Connecticut,United States,06518,41.381388,-72.9031382,true
 475 N Main St,Palmer,MA,1069,"","",North Main Street,Palmer,Hampden County,Massachusetts,United States,01069,42.16185309999999,-72.3402602,true
 10 Maple St,Belchertown,MA,1007,"",10,Maple Street,Belchertown,Hampden County,Massachusetts,United States,01007,42.2175288,-72.34229619999999,true
 645 Newton Street,South Hadley,MA,1075,"",645,Newton Street,South Hadley,Hampshire County,Massachusetts,United States,01075,42.2419563,-72.58012910000001,true
 645 Newton Street,South Hadley,MA,1075,"",645,Newton Street,South Hadley,Hampshire County,Massachusetts,United States,01075,42.2419563,-72.58012910000001,true
 2053 Pulaski Highway,Newark,DE,19711,"",2053,Pulaski Highway,Newark,New Castle County,Delaware,United States,19702,39.6083055,-75.72120249999999,true
 799 Cobbham Road,Thomson,GA,30824,"",799,Cobbham Road,Thomson,McDuffie County,Georgia,United States,30824,33.4833132,-82.4928374,false
 200 May Ave,Lincolnton,GA,30817,"",200,May Avenue,Lincolnton,Lincoln County,Georgia,United States,30817,33.7865062,-82.4743767,false
 175 S Broadway,Geneva,OH,44041,"",175,South Broadway,Geneva,Ashtabula County,Ohio,United States,44041,41.80262099999999,-80.94732599999999,false
 632 St. Francis Street,Rapid City,SD,57701,"",632,Saint Francis Street,Rapid City,Pennington County,South Dakota,United States,57701,44.066832,-103.229752,false
 51 Marcy Street,Southbridge,MA,1550,"",51,Marcy Street,Southbridge,Worcester County,Massachusetts,United States,01550,42.0787207,-72.03663019999999,true
 51 Marcy Street,Southbridge,MA,1550,"",51,Marcy Street,Southbridge,Worcester County,Massachusetts,United States,01550,42.0787207,-72.03663019999999,true
 707 South 6th Street,Leavenworth,KS,66048,"",707,South 6th Street,Leavenworth,Leavenworth County,Kansas,United States,66048,39.3118653,-94.9152398,false
 707 South 6th Street,Leavenworth,KS,66048,"",707,South 6th Street,Leavenworth,Leavenworth County,Kansas,United States,66048,39.3118653,-94.9152398,false
 313 Second Street,Lakewood,NJ,8701,"",313,2nd Street,Lakewood Township,Ocean County,New Jersey,United States,08701,40.09228299999999,-74.21529799999999,true
 601 North 56th Avenue West,Duluth,MN,55807,"",601,North 56th Avenue West,Duluth,St. Louis County,Minnesota,United States,55807,46.7416635,-92.1682393,false
 925 East 4th Street,Duluth,MN,55805,"",925,East 4th Street,Duluth,St. Louis County,Minnesota,United States,55805,46.79909860000001,-92.0906766,false
 510 Main Street,Sumiton,AL,35148,"",510,Main Street,Sumiton,Walker County,Alabama,United States,35148,33.7609223,-87.06091819999999,true
 909 Clifford Brown Walk,Wilmington,DE,19801,"",909,Clifford Brown Walk,Wilmington,New Castle County,Delaware,United States,19801,39.7433518,-75.54440199999999,false
 376 Washington Street,Brookline,MA,2445,"",376,Washington Street,Brookline,Norfolk County,Massachusetts,United States,02445,42.3342413,-71.1224739,true
 2258 Forest Hills Blvd,Bella Vista,AR,72714,"",2258,Forest Hills Boulevard,Bella Vista,Benton County,Arkansas,United States,72715,36.4508223,-94.3005335,true
 3551 Jimmy Lee Smith Park Way,Hiram,GA,30141,"",3551,Jimmy Lee Smith Parkway,Hiram,Paulding County,Georgia,United States,30141,33.898051,-84.76696799999999,true
 4405 Marietta St.,Powder Springs,GA,30127,"",4405,Marietta Street,Powder Springs,Cobb County,Georgia,United States,30127,33.8592489,-84.6826037,false
 138 Washington Street,Bruce,MS,38913,"",138,Washington Street,Bruce,Calhoun County,Mississippi,United States,38915,33.9874295,-89.3370451,true
 216 Hwy 25 South,Aberdeen,MS,39730,"","",Old Highway 25,Aberdeen,Monroe County,Mississippi,United States,39730,33.72395890000001,-88.6039042,true
 160 River Road,Lincoln,RI,2865,"",160,River Road,Lincoln,Providence County,Rhode Island,United States,02865,41.904636,-71.4145489,true
 327 Galloway Road,Brundidge,AL,36010,"",327,Galloway Road,Brundidge,Pike County,Alabama,United States,36010,31.7287734,-85.8196313,false
 144 South Main,Colchester,CT,6415,"",144,South Main Street,Colchester,New London County,Connecticut,United States,06415,41.571805,-72.3320899,true
 17624 Hwy 431,Wedowee,AL,36278,"",17624,U.S. 431,Wedowee,Randolph County,Alabama,United States,36278,33.3204404,-85.4837651,true
 89076 Hwy 9,Lineville,AL,36266,"",89076,Highway 9,Lineville,Clay County,Alabama,United States,36266,33.3107899,-85.75023829999999,false
 85499 Hwy 9,Ashland,AL,36251,"",85499,Highway 9,Ashland,Clay County,Alabama,United States,36251,33.280986,-85.8052218,true
 401 East Union Street,Minden,LA,71055,"",401,East Union Street,Minden,Webster Parish,Louisiana,United States,71055,32.6124904,-93.2807694,false
 114 W. Cherokee Ave.,Nowata,OK,74048,"",114,West Cherokee Avenue,Nowata,Nowata County,Oklahoma,United States,74048,36.7003748,-95.639268,true
 208 West Water St.,Hodgenville,KY,42748,"",208,West Water Street,Hodgenville,Larue County,Kentucky,United States,42748,37.57479,-85.74183599999999,false
 11020 W Broad St,Glen Allen,VA,23060,"",11020,West Broad Street,Glen Allen,Henrico County,Virginia,United States,23060,37.6482071,-77.5885119,false
 8014 Lee Davis Road,Mechanicsville,VA ,23111,"",8014,Lee Davis Road,Mechanicsville,Hanover County,Virginia,United States,23111,37.6169609,-77.33891059999999,false
 3215 Cutshaw,Richmond, VA ,23230,"",3215,Cutshaw Avenue,Richmond,"",Virginia,United States,23230,37.565327,-77.47563,true
 209 N. Main Street,Concord,NH,3301,"",209,North Main Street,Concord,Merrimack County,New Hampshire,United States,03301,43.2143966,-71.5413337,true
 1910 Elkton Pike,Pulaski,TN,38478,"",1910,Elkton Pike,Pulaski,Giles County,Tennessee,United States,38478,35.1693039,-87.016863,false
 3204 Main Street,Exmore,VA ,23350,"",3204,Main Street,Exmore,Northampton County,Virginia,United States,23350,37.533668,-75.8235459,false
 524 Race Street,Cambridge,MD,21613,"",524,Race Street,Cambridge,Dorchester County,Maryland,United States,21613,38.5675523,-76.0774931,false
 917 Isabella St,Salisbury,MD,21801,"",917,West Isabella Street,Salisbury,Wicomico County,Maryland,United States,21801,38.3704472,-75.6121246,true
 855 High St.,Chestertown,MD,21620,"",855,High Street,Chestertown,Kent County,Maryland,United States,21620,39.217757,-76.07936000000001,false
 426 Dover Street,Easton,MD,21601,"",426,East Dover Street,Easton,Talbot County,Maryland,United States,21601,38.77370519999999,-76.06858950000002,true
 516 North Main Street,Hurlock,MD,21643,"",516,North Main Street,Hurlock,Dorchester County,Maryland,United States,21643,38.641644,-75.86644299999999,false
 30479 Prince William Street,Princess Anne,MD,21853,"",30479,Prince William Street,Princess Anne,Somerset County,Maryland,United States,21853,38.203577,-75.694858,false
 717 West Division Street,Dover,DE,19904,"",717,West Division Street,Dover,Kent County,Delaware,United States,19904,39.15963319999999,-75.5358016,false
 274 Rehobeth Blvd,Milford,DE,19963,"",274,South Rehoboth Boulevard,Milford,Sussex County,Delaware,United States,19963,38.9118509,-75.4149611,true
 219 South Washington Street,Millsboro,DE,19966,"",219,Washington Street,Millsboro,Sussex County,Delaware,United States,19966,38.5877872,-75.2940747,true
 427 N Front St,Seaford,DE,19973,"",427,North Front Street,Seaford,Sussex County,Delaware,United States,19973,38.6465148,-75.6090846,false
 1225 Ryan's Road,Worthington,MN,56187,"",1225,Ryan's Road,Worthington,Nobles County,Minnesota,United States,56187,43.6352991,-95.59690859999999,false
 309 Hardee Street,Dallas,GA,30132,"",309,Hardee Street,Dallas,Paulding County,Georgia,United States,30132,33.91954500000001,-84.836456,false
 201 E. 4th Street,Northfield,MN,55057,"",201,East 4th Street,Northfield,Rice County,Minnesota,United States,55057,44.4564583,-93.1582222,false
 305 16th Avenue West,Cordele,GA,31015,"",305,West 16th Avenue,Cordele,Crisp County,Georgia,United States,31015,31.963245,-83.785372,true
 236 Mill,Barnesville,GA,30204,"",236,Mill Street,Barnesville,Lamar County,Georgia,United States,30204,33.064375,-84.1557163,true
 10151 Hwy 85 East,Woodbury,GA,30293,"",10151,Highway 85,Woodbury,Meriwether County,Georgia,United States,30293,32.9729065,-84.57894379999999,true
 Highway 128 North,Reynolds,GA,31076,"","",Highway 128,Reynolds,"",Georgia,United States,31076,32.5536239,-84.0966534,true
 518 N. Hightower,Thomaston,GA,30286,"",518,North Hightower Street,Thomaston,Upson County,Georgia,United States,30286,32.8948892,-84.3245034,true
 306 N. 4th,Rogers,AR,72756,"",306,North 4th Street,Rogers,Benton County,Arkansas,United States,72756,36.335734,-94.119959,true
 Archer St.,Hampton,AR,71744,"","","",Hampton,Calhoun County,Arkansas,United States,71744,33.537892,-92.4698762,true
 501 W. 4th. St.,Fordyce,AR,71742,"",501,West 4th Street,Fordyce,Dallas County,Arkansas,United States,71742,33.8123478,-92.4167614,false
 629 South Green Street,Henderson,KY,42420,"",629,South Green Street,Henderson,Henderson County,Kentucky,United States,42420,37.8292856,-87.5981521,false
 185 Spring St.,"Woonsocket,",RI,2895,"",185,Spring Street,Woonsocket,Providence County,Rhode Island,United States,02895,42.008996,-71.51606699999999,true
 2609 Cunningham Dr,Hampton,VA,23666,"",2609,Cunningham Drive,Hampton,"",Virginia,United States,23666,37.0410401,-76.4031916,false
 232 Kipp Ave,Hasbrouck Heights,NJ,7604,"",232,Kipp Avenue,Hasbrouck Heights,Bergen County,New Jersey,United States,07604,40.8622827,-74.0759836,true
 216 S. Main Street,Wharton,NJ,7885,"",216,South Main Street,Wharton,Morris County,New Jersey,United States,07885,40.8917017,-74.58062919999999,true
 367 N Main St.,Russell Springs,KY,42642,"",367,North Main Street,Russell Springs,Russell County,Kentucky,United States,42642,37.0584144,-85.0849023,false
 163 River Street,Ellijay,GA,30540,"",163,River Street,Ellijay,Gilmer County,Georgia,United States,30540,34.6924567,-84.47885079999999,false
 68 Old Short Hills Road,Livingston,NJ,7039,"",68,Old Short Hills Road,Livingston,Essex County,New Jersey,United States,07039,40.76665610000001,-74.30186429999999,true
 1500 Morris Avenue,Union,NJ,7083,"",1500,Morris Avenue,Union,Union County,New Jersey,United States,07083,40.690314,-74.2507056,true
 1 Berry Lane,Elberton,GA,30635,"","",Berry Lane,Elberton,Elbert County,Georgia,United States,30635,34.0866064,-82.8469662,true
 304 Lynda St,Quitman,MS,39355,"",304,West Lynda Street,Quitman,Clarke County,Mississippi,United States,39355,32.0539056,-88.7297217,true
 1300 34th Avenue,Meridian,MS,39301,"",1300,34th Avenue,Meridian,Lauderdale County,Mississippi,United States,39301,32.3699571,-88.7120609,false
 119 N. W. Front Street,Milford,DE,19963,"",119,Northwest Front Street,Milford,Kent County,Delaware,United States,19963,38.914762,-75.430707,false
 Main St,Felton,DE,19943,"","",West Main Street,Felton,Kent County,Delaware,United States,19943,39.0089662,-75.5782552,true
 101 Medford Mt. Holly Road,Medford,NJ,8055,"",101,Medford Mount Holly Road,Medford,Burlington County,New Jersey,United States,08055,39.9052999,-74.8267,true
 200 West 3rd Street,Chaska,MN,55318,"",200,West 3rd Street,Chaska,Carver County,Minnesota,United States,55318,44.786143,-93.60261299999999,false
 47 Broadway,Haverhill,MA,1832,"",47,Broadway,Haverhill,Essex County,Massachusetts,United States,01832,42.7790821,-71.0933434,true
 191 Lafayette St.,Salem,MA,1970,"",191,Lafayette Street,Salem,Essex County,Massachusetts,United States,01970,42.5146627,-70.89223199999999,true
 1300 4th Avenue,Bessemer,AL,35020,"",1300,4th Avenue North,Bessemer,Jefferson County,Alabama,United States,35020,33.3969707,-86.9599357,true
 475 Main Street,Spotswood,NJ,8884,"",475,Main Street,Spotswood,Middlesex County,New Jersey,United States,08884,40.3924287,-74.3882448,true
 8201 Harrison St,La Vista,NE,68128,"",8201,Harrison Street,La Vista,Sarpy County,Nebraska,United States,68128,41.19017669999999,-96.0397704,false
 215 Greenwood Avenue,Bethel,CT,6801,"",215,Greenwood Avenue,Bethel,Fairfield County,Connecticut,United States,06801,41.3719247,-73.4164852,true
 244 E. Armstrong Street,Eudora,AR,71640,"",244,East Armstrong Street,Eudora,Chicot County,Arkansas,United States,71640,33.1101669,-91.26060129999999,false
 512 Lewis Street,Oxford,NC,27565,"",512,Lewis Street,Oxford,Granville County,North Carolina,United States,27565,36.2979635,-78.6005765,false
 404 N. Main St,Nicholasville,KY,40356,"",404,North Main Street,Nicholasville,Jessamine County,Kentucky,United States,40356,37.8836132,-84.5711992,false
 6080 Stadium Drive,Kalamazoo,MI,49009,"",6080,Stadium Drive,Kalamazoo,Kalamazoo County,Michigan,United States,49009,42.264317,-85.669399,false
 226 Louisville Road,Beaver Dam,KY,42320,"",226,Louisville Road,Beaver Dam,Ohio County,Kentucky,United States,42320,37.4150945,-86.87382110000001,false
 111 Chapel Rd.,Wells,ME,4090,"",111,Chapel Road,Wells,York County,Maine,United States,04090,43.311542,-70.5898953,true
 67 Summer,Kennebunk,ME,4043,"",67,Summer Street,Kennebunk,York County,Maine,United States,04043,43.3817263,-70.5265208,true
 109 Court Row,Greenvill,KY,42345,"",109,Court Row,Greenville,Muhlenberg County,Kentucky,United States,42345,37.2002839,-87.1772846,true
 3 Silver Street,Middletown,CT,6457,"",3,West Silver Street,Middletown,Middlesex County,Connecticut,United States,06457,41.5518278,-72.64138870000001,true
 4650 Hwy 411 Bypass,Madisonville,TN,37354,"",4650,Highway 411,Madisonville,Monroe County,Tennessee,United States,37354,35.5118279,-84.3657355,true
 111 Depot Street,Tellico Plains,TN,37385,"",111,Depot Street,Tellico Plains,Monroe County,Tennessee,United States,37385,35.364492,-84.29468,false
 1316 Division Street S,Northfield,MN,55057,"",1316,Division Street South,Northfield,Rice County,Minnesota,United States,55057,44.44544399999999,-93.161467,false
 2 West Main,East Helena,MT,59602,"",2,West Main Street,East Helena,Lewis and Clark County,Montana,United States,59635,46.5895918,-111.9218557,true
 302 West Main Street,Williamston,NC,27892,"",302,West Main Street,Williamston,Martin County,North Carolina,United States,27892,35.85367,-77.058278,false
 701 South Main Street,Robersonville,NC,27871,"",701,South Main Street,Robersonville,Martin County,North Carolina,United States,27871,35.815799,-77.251631,false
 801 North Chestnut Street,Lumberton,NC,28358,"",801,North Chestnut Street,Lumberton,Robeson County,North Carolina,United States,28358,34.622784,-79.007948,false
 111 N 3rd St,"O'Neill,",NE,68763,"",111,North 3rd Street,O'Neill,Holt County,Nebraska,United States,68763,42.4577886,-98.649543,false
 76 East Adams Street,Crossville,TN,38555,"",76,East Adams Street,Crossville,Cumberland County,Tennessee,United States,38555,35.9458128,-85.02304749999999,false
 219 North 2nd Avenue,Northwood,ND,58267,"",219,2nd Avenue,Northwood,Grand Forks County,North Dakota,United States,58267,47.735477,-97.57115900000001,true
 405 Washington Avenue,Hatton,ND,58240,"",405,Washington Avenue,Hatton,Traill County,North Dakota,United States,58240,47.6411989,-97.4593615,false
 3088 Duluth Highway,Duluth,GA,30096,"",3088,Duluth Highway,Duluth,Gwinnett County,Georgia,United States,30096,33.9919612,-84.13405139999999,false
 6201 NW 39 Expressway,Bethany,OK,73008,"",6201,Northwest 39th Expressway,Bethany,Oklahoma County,Oklahoma,United States,73008,35.51196900000001,-97.623108,false
 812 Baldwin Street,Elkhart,IN,46514,"",812,Baldwin Street,Elkhart,Elkhart County,Indiana,United States,46514,41.6984431,-85.9666503,false
 755 Yell Road,Lewisburg,TN,37091,"",755,Yell Road,Lewisburg,Marshall County,Tennessee,United States,37091,35.4389029,-86.7915398,false
 2500 East Marshall Street,Richmond,VA,23223,"",2500,East Marshall Street,Richmond,"",Virginia,United States,23223,37.5326,-77.417526,false
 33 South Street,Great Barrington,MA,1230,"",33,South Street,Great Barrington,Berkshire County,Massachusetts,United States,01230,42.1911304,-73.3662463,true
 219 E. Millard,Johnson City,TN,37601,"",219,East Millard Street,Johnson City,Washington County,Tennessee,United States,37601,36.3218485,-82.35123899999999,true
 123 West Saxon Street,Ivanhoe,MN,56142,"",123,West Saxon Street,Ivanhoe,Lincoln County,Minnesota,United States,56142,44.4632982,-96.24869799999999,true
 500 North Division St,Hendricks,MN,56136,"",500,North Division Street,Hendricks,Lincoln County,Minnesota,United States,56136,44.5111807,-96.42430639999999,true
 111 5th Street East,Canby,MN,56220,"",111,5th Street East,Canby,Yellow Medicine County,Minnesota,United States,56220,44.7120739,-96.2710141,false
 214 West Ave South,Lyons,KS,67554,"",214,West Avenue South,Lyons,Rice County,Kansas,United States,67554,38.3464674,-98.20460489999999,false
 549 Lincoln,Saugus,MA,1906,"",549,Lincoln Avenue,Saugus,Essex County,Massachusetts,United States,01906,42.4475144,-71.0108273,true
 108 N. Broadview Street,Greenbrier,AR,72058,"",108,North Broadview Street,Greenbrier,Faulkner County,Arkansas,United States,72058,35.2493213,-92.386757,false
 1831 Hwy 65 & 82 South,Lake Village,AR,71653,"",1831,Highway 65,Twining,Arenac County,Michigan,United States,48766,44.13772609999999,-83.8076676,false
 246 South Archer,Eudora,AR,71640,"",246,South Archer Street,Eudora,Chicot County,Arkansas,United States,71640,33.108382,-91.26346799999999,true
 110 S. 3rd,McAlester,OK,74502,"",110,South 3rd Street,McAlester,Pittsburg County,Oklahoma,United States,74501,34.9293678,-95.766297,true
 3723 Lockport Street,Bismarck,ND,58503,"",3723,Lockport Street,Bismarck,Burleigh County,North Dakota,United States,58503,46.84612,-100.773905,false
 602 E. Washington,Greencastle, IN,46135,"",602,East Washington Street,Greencastle,Putnam County,Indiana,United States,46135,39.6439744,-86.8565565,true
 Main St,White Lake,SD,57383,"","",Main Street,White Lake,Aurora County,South Dakota,United States,57383,43.7304033,-98.71396639999999,false
 805 W. Havens Avenue,"Mitchell,",SD,57301,"",805,West Havens Avenue,Mitchell,Davison County,South Dakota,United States,57301,43.7017911,-98.0360078,false
 13307 S. Memorial Drive,Bixby,OK,74008,"",13307,South Memorial Drive,Bixby,Tulsa County,Oklahoma,United States,74008,35.969749,-95.88602,false
 47 Main St,Little Falls,NJ,7424,"",47,Main Street,Little Falls,Passaic County,New Jersey,United States,07424,40.8809102,-74.2262992,true
 1313 Van Houten Avenue,Clifton,NJ,7013,"",1313,Van Houten Avenue,Clifton,Passaic County,New Jersey,United States,07013,40.8715909,-74.17333599999999,true
 515 Lexington Ave,Clifton,NJ,7011,"",515,Lexington Avenue,Clifton,Passaic County,New Jersey,United States,07011,40.8783713,-74.13495309999999,true
 400 N. Third St,Ishpeming,MI,49849,"",400,North 3rd Street,Ishpeming,Marquette County,Michigan,United States,49849,46.4930655,-87.6644247,false
 3rd and Walnut,Jamestown,KS,66948,"","",Walnut Street,Jamestown,Cloud County,Kansas,United States,66948,39.600569,-97.862366,true
 1440 Junction Ave,Sturgis,SD,57785,"",1440,Junction Avenue,Sturgis,Meade County,South Dakota,United States,57785,44.4099026,-103.5086908,false
 1211 Martin Luther King Jr Drive,Nashville,GA,31639,"",1211,Martin Luther King Junior Drive,Nashville,Berrien County,Georgia,United States,31639,31.2079383,-83.2379251,false
 161 Broadway Street,Versailles,KY,40383,"",161,Broadway Street,Versailles,Woodford County,Kentucky,United States,40383,38.0563168,-84.72735109999999,false
 809 Broad Avenue,Ridgefield,NJ,7657,"",809,Broad Avenue,Ridgefield,Bergen County,New Jersey,United States,07657,40.8407922,-74.003548,true
 301 W. Blackwell Ave.,Blackwell,OK,74631,"",301,West Blackwell Avenue,Blackwell,Kay County,Oklahoma,United States,74631,36.803953,-97.28573399999999,false
 1292 Rauhut Street,Burlington,NC,27217,"",1292,Rauhut Street,Burlington,Alamance County,North Carolina,United States,27217,36.11447,-79.43181779999999,false
 1331 Main St,Yanceyville,NC,27379,"",1331,Main Street,Yanceyville,Caswell County,North Carolina,United States,27379,36.415073,-79.351467,false
 21 North Main Street,Pennington,NJ,8534,"",21,North Main Street,Pennington,Mercer County,New Jersey,United States,08534,40.3289959,-74.79056,true
 141 East Carteret,Edenton,NC,27932,"",141,East Carteret Street,Edenton,Chowan County,North Carolina,United States,27932,36.0631351,-76.6039378,true
 35 Church Street,Westbrook,ME,4092,"",35,Church Street,Westbrook,Cumberland County,Maine,United States,04092,43.67524119999999,-70.3660301,true
 226 W. Collings Avenue,Collingswood,NJ,8108,"",226,West Collings Avenue,Collingswood,Camden County,New Jersey,United States,08108,39.91434599999999,-75.0738145,true
 24 Worthen Street,Chelmsford,MA,1824,"",24,Worthen Street,Chelmsford,Middlesex County,Massachusetts,United States,01824,42.601207,-71.3543157,true
 103 Raleigh Avenue,Greenville,NC,27834,"",103,Raleigh Street,Greenville,Pitt County,North Carolina,United States,27834,35.60501199999999,-77.384866,true
 713 S. 4th Street,Murray,KY,42071,"",713,South 4th Street,Murray,Calloway County,Kentucky,United States,42071,36.5967507,-88.3029613,false
 666 Plymouth Street,Whitman,MA,2382,"",666,Plymouth Street,Whitman,Plymouth County,Massachusetts,United States,02382,42.0946824,-70.9262234,true
 North Main Street,Bland,VA ,24315,"","",Main Street,Bland,Bland County,Virginia,United States,24315,37.094674,-81.10165030000002,true
 413 Griffin Blvd,Farmville,VA ,23901,"",413,Griffin Boulevard,Farmville,Prince Edward County,Virginia,United States,23901,37.2977733,-78.3987243,false
 620 10th Street,"Gothenburg,",NE,69138,"",620,10th Street,Gothenburg,Dawson County,Nebraska,United States,69138,40.92795479999999,-100.1589801,false
 256 Milton Street,Jackson,TN,38301,"","","",Jackson,Madison County,Tennessee,United States,"",35.6145169,-88.81394689999999,true
 417 Lee Street,Bristol,VA,24201,"",417,Lee Street,Bristol,"",Virginia,United States,24201,36.5996526,-82.1799853,false
 3801 Augusta Ave,Richmond, VA ,23230,"",3801,Augusta Avenue,Richmond,"",Virginia,United States,23230,37.56961080000001,-77.48152499999999,false
 8510 Staples Mill Road,Richmond,VA,23228,"",8510,Staples Mill Road,Richmond,Henrico County,Virginia,United States,23228,37.62845,-77.5068129,false
 6900 Hull Street,Richmond, VA ,23224,"",6900,Hull Street,Richmond,"",Virginia,United States,23224,37.502534,-77.4728678,true
 13603 Northland Dr NE,Cedar Springs,MI,49319,"",13603,Northland Drive Northeast,Cedar Springs,Kent County,Michigan,United States,49319,43.2129838,-85.55115320000002,false
 1300 Vermont Ave,Lakewood,NJ,8701,"",1300,Vermont Avenue,Lakewood Township,Ocean County,New Jersey,United States,08701,40.04786410000001,-74.2099446,true
 17885 State Hwy 160,Cleveland,AL,35049,"",17885,Highway 160,Cleveland,Blount County,Alabama,United States,35049,33.9863897,-86.58326780000002,false
 69555 Main Street,Blountsville,AL,35031,"",69555,Main Street,Blountsville,Blount County,Alabama,United States,35031,34.0880418,-86.5878685,false
 5251 Robert C. Byrd Drive,Beckley,WV,25801,"",5251,Robert C Byrd Drive,Mount Hope,Raleigh County,West Virginia,United States,25880,37.840283,-81.1915126,true
 111 Church Street,Westernport,MD,21562,"",111,Church Street,Westernport,Allegany County,Maryland,United States,21562,39.4838677,-79.04487499999999,false
 19008 Legislative Road,Barton,MD,21521,"",19008,Legislative Road Southwest,Barton,Allegany County,Maryland,United States,21521,39.5316807,-79.01657709999999,true
 Main Street,Chelsea,VT,5077,"",5077,Main Street,Williamstown,Orange County,Vermont,United States,05679,44.0867997,-72.5553819,true
 807 E Sparks,Boaz,AL,35957,"",807,Sparks Avenue,Boaz,Marshall County,Alabama,United States,35957,34.201222,-86.152902,true
 410 North Dixie Hwy,Cave City,KY,42127,"",410,North Dixie Highway,Cave City,Barren County,Kentucky,United States,42127,37.1402861,-85.9505763,false
 5 Bruce St,Morrilton,AR,72110,"",5,Bruce Street,Morrilton,Conway County,Arkansas,United States,72110,35.1711798,-92.7210833,false
 292 Madison Street,Clarendon,AR,72029,"",292,Madison Street,Clarendon,Monroe County,Arkansas,United States,72029,34.6929321,-91.3119275,false
 300 Hemlock,Brinkley,AR,72021,"",300,West Hemlock Street,Brinkley,Monroe County,Arkansas,United States,72021,34.8921228,-91.1945914,true
 350 E Highway 49,Marvell,AR,72366,"",350,Route 1,Marvell,Phillips County,Arkansas,United States,72366,34.5484447,-90.93316779999999,true
 1300 Kings Hwy. North,Cherry Hill,NJ,8034,"",1300,Kings Highway North,Cherry Hill,Camden County,New Jersey,United States,08034,39.919032,-75.005445,true
 7042 Kennedy Avenue,Hammond, IN,46323,"",7042,Kennedy Avenue,Hammond,Lake County,Indiana,United States,46323,41.5852733,-87.4619508,false
 2000 S. First,Milan,TN,38358,"",2000,South 1st Street,Milan,Gibson County,Tennessee,United States,38358,35.919337,-88.7567526,true
 300 Prairie Avenue,Faribault,MN,55021,"",300,Prairie Avenue Southwest,Faribault,Rice County,Minnesota,United States,55021,44.28733440000001,-93.2881984,true
