orig_address,orig_city,orig_state,orig_country,subpremise,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code,lat,lng,partial_match
 594 South Reilly Road,Fayetteville,NC,28314,"",594,South Reilly Road,Fayetteville,Cumberland County,North Carolina,United States,28314,35.0664237,-79.0145328,false
 4235 Fairfax By-Pass,Valley,AL,36854,"",4235,Fairfax Bypass,Valley,Chambers County,Alabama,United States,36854,32.782811,-85.1874658,true
 Rt 28 N,Fort Ashby,WV,26719,"","",Route 28,Fort Ashby,Mineral County,West Virginia,United States,26719,39.5100231,-78.7715394,true
 202 Greene St,Cumberland,MD,21502,"",202,Greene Street,Cumberland,Allegany County,Maryland,United States,21502,39.649821,-78.768996,false
 1140 W Lynchburg Salem Turnpike,Bedford,VA,24523,"",1140,West Lynchburg Salem Turnpike,Bedford,Bedford County,Virginia,United States,24523,37.3404305,-79.5595159,false
 513 W. Eighth Street,Connersville,IN,47331,"",513,West 8th Street,Connersville,Fayette County,Indiana,United States,47331,39.64550699999999,-85.14118599999999,false
 516 North Street East,Talladega,AL,35160,"",516,North Street East,Talladega,Talladega County,Alabama,United States,35160,33.437589,-86.09265099999999,false
 300 East 7th Street,Columbia,TN,38401,"",300,East 7th Street,Columbia,Maury County,Tennessee,United States,38401,35.614158,-87.030226,false
 14001 Patrick Henry Hwy,Amelia Courthouse,VA ,23002,"",14001,Patrick Henry Highway,Amelia Court House,Amelia County,Virginia,United States,23002,37.3677511,-77.9306744,true
 5923 Kennedy Boulevard,North Bergen,NJ,7047,"",5923,John F. Kennedy Boulevard,North Bergen,Hudson County,New Jersey,United States,07047,40.7916367,-74.02249069999999,true
 23 Main Street,North Grosvenordale,CT,6255,"",23,Main Street,Thompson,Windham County,Connecticut,United States,06255,41.9794048,-71.9021087,true
 205 Morgan Street SE,Valdese,NC,28690,"",205,Morgan Street Southeast,Valdese,Burke County,North Carolina,United States,28690,35.741388,-81.555127,false
 601 North C Street,Eloy,AZ ,85131,"",601,C Street,Eloy,Pinal County,Arizona,United States,85131,32.7559691,-111.554163,true
 1607 Second Avenue East,Oneonta,AL,35121,"",1607,2nd Avenue East,Oneonta,Blount County,Alabama,United States,35121,33.9629419,-86.45964029999999,false
 1214 Kentucky Avenue,Stevenson,AL,35772,"",1214,Kentucky Avenue,Stevenson,Jackson County,Alabama,United States,35772,34.8616795,-85.8309101,true
 1085 N. Main Avenue,Erwin,TN,37650,"",1085,North Main Avenue,Erwin,Unicoi County,Tennessee,United States,37650,36.1577571,-82.4050458,false
 1609 Peters Creek Road,Roanoke,VA,24017,"",1609,Peters Creek Road,Roanoke,"",Virginia,United States,24017,37.304867,-80.006456,false
 151 E Herning Ave,Wasilla,AK,99654,"",151,East Herning Avenue,Wasilla,Matanuska-Susitna,Alaska,United States,99654,61.58269199999999,-149.448563,false
 14116 S. Middle Road,Edinburg,VA,22824,"",14116,South Middle Road,Edinburg,Shenandoah County,Virginia,United States,22824,38.8088527,-78.59394739999999,false
 531 S. 16th St,Sunnyside,WA,98944,"",531,South 16th Street,Sunnyside,Yakima County,Washington,United States,98944,46.3244853,-119.9992939,false
 2600 Business Lane,Yakima,WA,98901,"",2600,Business Lane,Yakima,Yakima County,Washington,United States,98901,46.6084798,-120.4649547,false
 607 2nd Ave,Zillah,WA,98953,"",607,2nd Avenue,Zillah,Yakima County,Washington,United States,98953,46.402371,-120.259706,false
 3929 SE Tualatin Valley Highway,Hillsboro,OR,97123,"",3929,Southeast Tualatin Valley Highway,Hillsboro,Washington County,Oregon,United States,97123,45.50185099999999,-122.9430796,false
 107 N Sixth St,Osage City,KS,66523,"",107,North 6th Street,Osage City,Osage County,Kansas,United States,66523,38.635266,-95.82623500000001,false
 501 E 3rd,Eskridge,KS,66423,"",501,East 3rd Avenue,Eskridge,Wabaunsee County,Kansas,United States,66423,38.8558345,-96.1039558,true
 202 W. Main St,Madison,KS,66860,"",202,Main Street,Madison,Greenwood County,Kansas,United States,66860,38.13761849999999,-96.1346619,true
 300 W. Madison St,Plymouth,IN,46563,"",300,West Madison Street,Plymouth,Marshall County,Indiana,United States,46563,41.3445495,-86.31251209999999,false
 2615 Stillman Blvd,Tuscaloosa,AL,35401,"",2615,Stillman Boulevard,Tuscaloosa,Tuscaloosa County,Alabama,United States,35401,33.20473,-87.57011100000001,false
 40 S. Manning St,Hillsdale,MI,49242,"",40,South Manning Street,Hillsdale,Hillsdale County,Michigan,United States,49242,41.9182335,-84.6340472,false
 21 York Street,Lambertville,NJ,8530,"",21,York Street,Lambertville,Hunterdon County,New Jersey,United States,08530,40.367948,-74.94535599999999,true
 30600 Harper,Saint Clair Shores,MI,48082,"",30600,Harper Avenue,Saint Clair Shores,Macomb County,Michigan,United States,48082,42.520174,-82.89815600000001,true
 337 Belleville Avenue,Bloomfield,NJ,7003,"",337,Belleville Avenue,Bloomfield,Essex County,New Jersey,United States,07003,40.800161,-74.1958375,true
 401 Main St.,"Odell,",NE,68415,"",401,Main Street,Odell,Gage County,Nebraska,United States,68415,40.0508887,-96.80177719999999,false
 3738 Highway 431 North,Phenix City,AL,36867,"",3738,U.S. 431,Phenix City,Russell County,Alabama,United States,36867,32.5015234,-85.0466577,true
 110 E. 12th St,Vancouver,WA,98660,"",110,East 12th Street,Vancouver,Clark County,Washington,United States,98660,45.6305492,-122.6709075,false
 13-31 Saddle River Rd #31,Fair Lawn,NJ,7410,"",13-31,Saddle River Road,Fair Lawn,Bergen County,New Jersey,United States,07410,40.9427513,-74.099488,false
 257 Godwin Ave,Wyckoff,NJ,7481,"",257,Godwin Avenue,Wyckoff,Bergen County,New Jersey,United States,07481,41.00865599999999,-74.163112,true
 113 S. Farview Ave,Paramus,NJ,7652,"",113,South Farview Avenue,Paramus,Bergen County,New Jersey,United States,07652,40.9124399,-74.0721908,true
 530 High Mountain Road,Franklin Lakes,NJ,7417,"",530,High Mountain Road,Franklin Lakes,Bergen County,New Jersey,United States,07417,40.9795919,-74.200453,true
 4917 32nd Avenue,Hudsonville,MI,49426,"",4917,32nd Avenue,Hudsonville,Ottawa County,Michigan,United States,49426,42.8584433,-85.86167689999999,false
 164 Maple Street,Dayton,TN,37321,"",164,Maple Street,Dayton,Rhea County,Tennessee,United States,37321,35.4836423,-85.0190815,false
 607 Master St,Corbin,KY,40701,"",607,Master Street,Corbin,Knox County,Kentucky,United States,40701,36.951944,-84.0892489,false
 9000 State Route 132 W,Clay,KY,42404,"",9000,Route 132,Clay,Webster County,Kentucky,United States,42404,37.4779286,-87.8194011,true
 620 Washington Avenue,Grand Haven,MI,49417,"",620,Washington Avenue,Grand Haven,Ottawa County,Michigan,United States,49417,43.0615146,-86.223826,false
 43 E. Main Street,West Brookfield,MA,1585,"",43,East Main Street,West Brookfield,Worcester County,Massachusetts,United States,01585,42.2349803,-72.1417577,true
 920 21st Avenue,Lewiston,ID,83501,"",920,21st Avenue,Lewiston,Nez Perce County,Idaho,United States,83501,46.398053,-117.019197,false
 1010 Murdoch Ave.,Parkersburg,WV,26101,"",1010,Murdoch Avenue,Parkersburg,Wood County,West Virginia,United States,26101,39.2709086,-81.5579575,false
 201 W. Center,Galax, VA,24333,"",201,West Center Street,Galax,"",Virginia,United States,24333,36.6623759,-80.9262703,true
 1035 N Main St,Hillsville,VA,24343,"",1035,North Main Street,Hillsville,Carroll County,Virginia,United States,24343,36.7692251,-80.7382914,false
 150 East Piccadilly Avenue,Spring City,TN,37381,"",150,Piccadilly Avenue,Spring City,Rhea County,Tennessee,United States,37381,35.6930529,-84.8623552,true
 262 Beach Street,Revere,MA,2151,"",262,Beach Street,Revere,Suffolk County,Massachusetts,United States,02151,42.4094433,-71.00737819999999,true
 8 Elm,Waterville,ME,4901,"",8,Elm Street,Waterville,Kennebec County,Maine,United States,04901,44.5464823,-69.6362314,true
 670 Stanley Street,New Britain,CT,6051,"",670,Stanley Street,New Britain,Hartford County,Connecticut,United States,06051,41.666104,-72.77220700000001,true
 303 S. Bridge Street,Belding,MI,48809,"",303,South Bridge Street,Belding,Ionia County,Michigan,United States,48809,43.0958113,-85.22902669999999,false
 980 N Newburgh Rd,Westland,MI,48185,"",980,North Newburgh Road,Westland,Wayne County,Michigan,United States,48185,42.3164396,-83.4075412,false
 46401 Ann Arbor Rd.,Plymouth,MI,48170,"",46401,Ann Arbor Road,Plymouth,Wayne County,Michigan,United States,48170,42.3579664,-83.498853,false
 1018 Parent St.,New Roads,LA,70760,"",1018,Parent Street,New Roads,Pointe Coupee Parish,Louisiana,United States,70760,30.70316,-91.4595729,false
 503 3rd Ave N,Wahpeton,ND,58075,"",503,3rd Avenue North,Wahpeton,Richland County,North Dakota,United States,58075,46.2658038,-96.6073842,false
 920 3rd Avenue North,Wahpeton,ND,58075,"",920,3rd Avenue North,Wahpeton,Richland County,North Dakota,United States,58075,46.2660622,-96.61348939999999,false
 773 Broadway,Revere,MA,2151,"",773,Broadway,Revere,Suffolk County,Massachusetts,United States,02151,42.417007,-71.00738199999999,true
 212 South Main Street,Viborg,SD,57070,"",212,South Main Street,Viborg,Turner County,South Dakota,United States,57070,43.168266,-97.0815422,false
 108 Pine Street West,Vidalia,GA,30474,"",108,Pine Street,Vidalia,Toombs County,Georgia,United States,30474,32.2205844,-82.4122513,true
 1616 N. Lincoln Avenue,Loveland,CO,80538,"",1616,North Lincoln Avenue,Loveland,Larimer County,Colorado,United States,80538,40.4103996,-105.0726773,false
 101 Vandell Blvd,Gadsden,AL,35904,"",101,Vandell Boulevard,Gadsden,Etowah County,Alabama,United States,35904,34.0173405,-86.0564121,false
 300 Eleazar Avenue,Kaplan,LA,70548,"",300,North Eleazar Avenue,Kaplan,Vermilion Parish,Louisiana,United States,70548,30.0044909,-92.2999402,false
 311 Fourth Street,Gueydan,LA,70542,"",311,4th Street,Gueydan,Vermilion Parish,Louisiana,United States,70542,30.0245112,-92.5103109,false
 880 Hopmeadow,Simsbury,CT,6070,"",880,Hopmeadow Street,Simsbury,Hartford County,Connecticut,United States,06070,41.8782817,-72.8003597,true
 120 Albany Turnpike,Canton,CT,6019,"",120,Albany Turnpike,Canton,Hartford County,Connecticut,United States,06019,41.8236535,-72.8870397,true
 417 11th Street,West Point, VA,23181,"",417,11th Street,West Point,King William County,Virginia,United States,23181,37.53516700000001,-76.7975886,false
 209 S. St. Charles,Abbeville,LA,70510,"",209,South Saint Charles Street,Abbeville,Vermilion Parish,Louisiana,United States,70510,29.9720315,-92.13465169999999,true
 406 W. First Street,Vidalia,GA,30474,"",406,1st Street,Vidalia,Toombs County,Georgia,United States,30474,32.2197897,-82.4186689,true
 105 Lower Harmony Rd,Eatonton,GA,31024,"",105,Lower Harmony Road Northeast,Eatonton,Putnam County,Georgia,United States,31024,33.3418223,-83.3921278,true
 3222 Slate Creek Road,Grundy,VA,24614,"",3222,Slate Creek Road,Grundy,Buchanan County,Virginia,United States,24614,37.2978832,-82.0479529,true
 432 3rd Street,Langley,WA,98260,"",432,Third Street,Langley,Island County,Washington,United States,98260,48.03938400000001,-122.411857,false
 2951 Reynolda Road,Winston-Salem,NC,27106,"",2951,Reynolda Road,Winston-Salem,Forsyth County,North Carolina,United States,27106,36.1476307,-80.3045089,false
 2849 Middlebrook Dr.,Clemmons,NC,27012,"",2849,Middlebrook Drive,Clemmons,Forsyth County,North Carolina,United States,27012,36.020389,-80.381326,false
 789 Teaneck Road,Teaneck,NJ,7666,"",789,Teaneck Road,Teaneck,Bergen County,New Jersey,United States,07666,40.8836381,-74.0076114,true
 268 Kinderkamack Road,Oradell,NJ,7649,"",268,Kinderkamack Road,Oradell,Bergen County,New Jersey,United States,07649,40.9495105,-74.0319432,true
 147 Main Street,"Seward,",NE,68434,"",147,Main Street,Seward,Seward County,Nebraska,United States,68434,40.9066191,-97.09404889999999,false
 23750 Goddard Rd,Taylor,MI,48180,"",23750,Goddard Road,Taylor,Wayne County,Michigan,United States,48180,42.22695,-83.266133,false
 23701 Ford,Dearborn,MI,48128,"",23701,Ford Road,Dearborn Heights,Wayne County,Michigan,United States,48127,42.3266988,-83.26905169999999,true
 5900 Allen,Allen Park,MI,48101,"",5900,Allen Road,Allen Park,Wayne County,Michigan,United States,48101,42.2602773,-83.2054815,true
 59 Main Street,Ridgefield Park,NJ,7660,"",59,Main Street,Ridgefield Park,Bergen County,New Jersey,United States,07660,40.851241,-74.02561399999999,true
 503-7 N Main Street,Culpeper,VA,22701,"",503,North Main Street,Culpeper,Culpeper County,Virginia,United States,22701,38.4759525,-77.9951195,true
 1800 John L Patterson St,Springfield,TN,37172,"",1800,John L Patterson Street,Springfield,Robertson County,Tennessee,United States,37172,36.497513,-86.891559,false
 504 East,Blackstone,VA,23824,"",504,East Street,Blackstone,Nottoway County,Virginia,United States,23824,37.069445,-77.99482410000002,true
 280 Mobile Street,Saltillo,MS,38866,"",280,Mobile Street,Saltillo,Lee County,Mississippi,United States,38866,34.3807684,-88.69421559999999,false
 1020 Briarhill Road,Mooresville,NC,28115,"",1020,Briarhill Road,Mooresville,Iredell County,North Carolina,United States,28115,35.58921,-80.793261,false
 800 Monroe Street,Vicksburg,MS,39183,"",800,Monroe Street,Vicksburg,Warren County,Mississippi,United States,39183,32.3545386,-90.8792074,false
 210 Harpersville Road,Newport News,VA,23601,"",210,Harpersville Road,Newport News,"",Virginia,United States,23601,37.055662,-76.470159,false
 465 High,Burlington,NJ,8016,"",465,High Street,Burlington,Burlington County,New Jersey,United States,08016,40.075705,-74.8568587,true
 244 N. Main Street,Branford,CT,6405,"",244,North Main Street,Branford,New Haven County,Connecticut,United States,06405,41.2909965,-72.80528079999999,true
 2700 North Avenue,Richmond,VA,23222,"",2700,North Avenue,Richmond,"",Virginia,United States,23222,37.567013,-77.433392,false
 815 W. First Street,Cawker City,KS,67430,"",815,1st Street,Cawker City,Mitchell County,Kansas,United States,67430,39.5166867,-98.43428329999999,true
 401 Main Street,Collins,MS,39428,"",401,Main Street,Collins,Covington County,Mississippi,United States,39428,31.6449106,-89.55617529999999,true
 303 W. Washington,Purcell,OK,73080,"",303,West Washington Street,Purcell,McClain County,Oklahoma,United States,73080,35.0137041,-97.3628184,true
 424 Pine Street,"Valparaiso,",NE,68065,"",424,Pine Street,Valparaiso,Saunders County,Nebraska,United States,68065,41.0793821,-96.8341752,false
 1040 Main Street,Stone Mountain,GA,30086,"",1040,Main Street,Stone Mountain,DeKalb County,Georgia,United States,30083,33.810423,-84.17131959999999,true
 1031 Lawrenceville Hwy,Lawrenceville,GA,30046,"",1031,Lawrenceville Highway,Lawrenceville,Gwinnett County,Georgia,United States,30046,33.9415911,-84.01502339999999,false
 1501 W. Maumee,Adrian,MI,49221,"",1501,West Maumee Street,Adrian,Lenawee County,Michigan,United States,49221,41.9040072,-84.06516719999999,true
 3 East Odom Street,Hazlehurst,GA,31539,"","","",Hazlehurst,Jeff Davis County,Georgia,United States,31539,31.884722,-82.647499,true
 1024 East Landis Avenue,Vineland,NJ,8360,"",1024,East Landis Avenue,Vineland,Cumberland County,New Jersey,United States,08360,39.485977,-75.01292,true
 850 N. Main Street,Brockton,MA,2301,"",850,North Main Street,Brockton,Plymouth County,Massachusetts,United States,02301,42.1056449,-71.0267997,true
 167 Wakelee Avenue,Ansonia,CT,6401,"",167,Wakelee Avenue,Ansonia,New Haven County,Connecticut,United States,06401,41.3425331,-73.0909734,true
 1218 N. Michigan Ave,Saginaw,MI,48602,"",1218,North Michigan Avenue,Saginaw,Saginaw County,Michigan,United States,48602,43.425287,-83.9528737,false
 1208 Hwy 2 North,Wilburton,OK,74578,"",1208,South Highway 2,Wilburton,Latimer County,Oklahoma,United States,74578,34.9070662,-95.32298300000001,true
 4201 Nowata Road,Bartlesville,OK,74006,"",4201,Nowata Road,Bartlesville,Washington County,Oklahoma,United States,74006,36.7274818,-95.928966,false
 1200 Ellard Road,Fultondale,AL,35068,"",1200,Ellard Road,Fultondale,Jefferson County,Alabama,United States,35068,33.6048784,-86.8179301,false
 211 N 1st St,Rolling Fork,MS,39159,"",211,North 1st Street,Rolling Fork,Sharkey County,Mississippi,United States,39159,32.9087769,-90.8789039,false
 14 High St,Greenfield,MA,1301,"",14,High Street,Greenfield,Franklin County,Massachusetts,United States,01301,42.588143,-72.59599899999999,true
 248 East South Street,Winchester,IN,47394,"",248,East South Street,Winchester,Randolph County,Indiana,United States,47394,40.1702317,-84.9779061,false
 201 E 45th St,Shawnee,OK,74804,"",201,East 45th Street,Shawnee,Pottawatomie County,Oklahoma,United States,74804,35.3756336,-96.92047199999999,false
 109 W. Windsor Street,Montpelier,IN,47359,"",109,West Windsor Street,Montpelier,Blackford County,Indiana,United States,47359,40.5561043,-85.2775128,false
 163 Irene Roberts Road,Lillington,NC,27546,"",163,Irene Roberts Road,Lillington,Harnett County,North Carolina,United States,27546,35.3824556,-78.8289707,false
 1703 Broad Street,Selma,AL,36702,"",1703,Broad Street,Selma,Dallas County,Alabama,United States,36701,32.4224,-87.02470000000001,true
 304 West Center St.,Mebane,NC,27302,"",304,West Center Street,Mebane,Alamance County,North Carolina,United States,27302,36.0977433,-79.2718974,false
 204 N. Churton Street,Hillsborough,NC,27278,"",204,North Churton Street,Hillsborough,Orange County,North Carolina,United States,27278,36.0774922,-79.0992496,false
 120 W. Franklin St.,Chapel Hill,NC,27516,"",120,West Franklin Street,Chapel Hill,Orange County,North Carolina,United States,27516,35.9131311,-79.0568971,false
 3407 Old Pond Road,John's Island,SC,29455,"",3407,State Road S-10-1632,Johns Island,Charleston County,South Carolina,United States,29455,32.769792,-80.0954409,false
 1760 Midland Trail,Milton,WV,25541,"",1760,Midland Trail,Milton,Cabell County,West Virginia,United States,25541,38.432419,-82.14829600000002,false
 1159 Central,Barboursville,WV,25504,"",1159,Central Avenue,Barboursville,Cabell County,West Virginia,United States,25504,38.405951,-82.29473899999999,true
 502 Monroe Ave,Ronceverte,WV,24970,"",502,Monroe Avenue,Lewisburg,Greenbrier County,West Virginia,United States,24901,37.7468751,-80.465769,false
 106 Holly Street,Ansted,WV,25812,"",106,Holley Street,Ansted,Fayette County,West Virginia,United States,25812,38.13438439999999,-81.0995106,true
 Old Route 92,Arbovale,WV,24915,"","","",Arbovale,"",West Virginia,United States,24915,38.476361,-79.7624177,true
 102 N Jefferson St,Lewisburg,WV,24901,"",102,North Jefferson Street,Lewisburg,Greenbrier County,West Virginia,United States,24901,37.80195399999999,-80.4448747,false
 213 Main St,Rainelle,WV,25962,"",213,Main Street,Rainelle,Greenbrier County,West Virginia,United States,25962,37.9699371,-80.7655308,false
 419 Hwy 6 West,Oxford,MS,38655,"",419,Mississippi 6,Oxford,Lafayette County,Mississippi,United States,38655,34.3493136,-89.7198057,true
 700 E. Jackson Blvd.,Elkhart,IN,46516,"",700,East Jackson Boulevard,Elkhart,Elkhart County,Indiana,United States,46516,41.6906428,-85.9632378,false
 809 N. Main Street,Wallingford,CT,6492,"",809,North Main Street Extension,Wallingford,New Haven County,Connecticut,United States,06492,41.4760502,-72.8093687,true
 520 Main St,Walnut Grove,MN,56180,"",520,Main Street,Walnut Grove,Redwood County,Minnesota,United States,56180,44.2230742,-95.46846629999999,false
 723 Parsonage St.,Elizabeth City,NC,27909,"",723,Parsonage Street,Elizabeth City,Pasquotank County,North Carolina,United States,27909,36.3069,-76.2304,false
 100 W. Florida Ave,Marion,SD,57043,"",100,Florida Street,Marion,Turner County,South Dakota,United States,57043,43.4228975,-97.2620355,true
 553 S. Juniper,"Freeman,",SD,57029,"",553,South Juniper Street,Freeman,Hutchinson County,South Dakota,United States,57029,43.3493211,-97.43901969999999,true
 201 N. Cherry Avenue,Bridgewater,SD,57319,"",201,North Cherry Avenue,Bridgewater,McCook County,South Dakota,United States,57319,43.549706,-97.49950109999999,false
 803 Raritan Rd.,Clark,NJ,7066,"",803,Raritan Road,Clark,Union County,New Jersey,United States,07066,40.6198639,-74.3215733,true
 700 North 25th Street,Richmond,VA,23223,"",700,North 25th Street,Richmond,"",Virginia,United States,23223,37.5354141,-77.41562069999999,false
 302 S. Brightleaf Blvd,Smithfield,NC,27577,"",302,South Brightleaf Boulevard,Smithfield,Johnston County,North Carolina,United States,27577,35.5059004,-78.3417108,false
 509 East Central Avenue,La Follette,TN,37766,"",509,East Central Avenue,LaFollette,Campbell County,Tennessee,United States,37766,36.3851609,-84.11759649999999,false
 100 S. LexingtonSpringmill,Ontario,OH,44906,"",100,Lexington-Springmill Road South,Ontario,Richland County,Ohio,United States,44906,40.757273,-82.590822,true
 2414 Hartford Highway,Dothan,AL,36305,"",2414,Hartford Highway,Dothan,Houston County,Alabama,United States,36305,31.2043356,-85.4300597,false
 758 Main Street SW,Gainesville,GA,30501,"",758,Main Street Southwest,Gainesville,Hall County,Georgia,United States,30501,34.292099,-83.82260629999999,false
 231 Huguley Road,Valley,AL,36854,"",231,Huguley Road,Valley,Chambers County,Alabama,United States,36854,32.8047885,-85.1973982,false
 1945 Main St,Klamath Falls,OR,97601,"",1945,Main Street,Klamath Falls,Klamath County,Oregon,United States,97601,42.228845,-121.768653,false
 846 US Hwy 27 N,Cynthiana,KY,41031,"",846,North US Highway 27,Cynthiana,Harrison County,Kentucky,United States,41031,38.4013469,-84.2914971,true
 1200 W. Wheeler Road,Midland,MI,48640,"",1200,West Wheeler Street,Midland,Midland County,Michigan,United States,48640,43.6418411,-84.2410009,true
 5 Center Street,Wareham,MA,2571,"",5,Center Street,Wareham,Plymouth County,Massachusetts,United States,02571,41.7577669,-70.7156715,true
 Route 42,Warfield,KY,41267,"","","",Warfield,Martin County,Kentucky,United States,"",37.8442628,-82.4173694,true
 189 Gardners Neck Road,Swanse,MA,2777,"",189,Gardners Neck Road,Swansea,Bristol County,Massachusetts,United States,02777,41.744226,-71.19402769999999,true
 550 Locust,Fall River,MA,2720,"",550,Locust Street,Fall River,Bristol County,Massachusetts,United States,02720,41.7056929,-71.148836,true
 230 Russell Mills Rd,South Dartmouth,MA,2748,"",230,Russells Mills Road,Dartmouth,Bristol County,Massachusetts,United States,02748,41.6039079,-70.9581354,true
 180 Washington Street,Fairhaven,MA,2719,"",180,Washington Street,Fairhaven,Bristol County,Massachusetts,United States,02719,41.640674,-70.8904357,true
 866 County Street (Route 138,Somerset,MA,2726
 80 Midland Avenue,Wallington,NJ,7057,"",80,Midland Avenue,Wallington,Bergen County,New Jersey,United States,07057,40.8603813,-74.1063018,true
 80 E. Washington Street,Nelsonville,OH,45764,"",80,East Washington Street,Nelsonville,Athens County,Ohio,United States,45764,39.4607885,-82.2305828,false
 99 Cedar Grove Road,Irvine,KY,40336,"",99,Cedar Grove Road,Irvine,Estill County,Kentucky,United States,40336,37.6990107,-83.99074689999999,false
 234 W. Washington,Washington,NJ,7882,"",234,West Washington Avenue,Washington,Warren County,New Jersey,United States,07882,40.75658200000001,-74.98983299999999,true
 234 W. Washington Avenue,Washington,NJ,7882,"",234,West Washington Avenue,Washington,Warren County,New Jersey,United States,07882,40.75658200000001,-74.98983299999999,true
 355 S. Capitol,Many,LA,71449,"",355,South Capitol Street,Many,Sabine Parish,Louisiana,United States,71449,31.56652059999999,-93.4847521,true
 1008 Obrie,"Zwolle,",LA,71486,"",1008,Obrie Street,Zwolle,Sabine Parish,Louisiana,United States,71486,31.6487037,-93.6442861,true
 120 W. 13th Street,Lawrence,KS,66044,"",120,West 13th Street,Lawrence,Douglas County,Kansas,United States,66044,38.960248,-95.236903,false
 1003 John L. Williams Dr.,Eudora,KS,66025,"",1003,John L Williams Drive,Eudora,Douglas County,Kansas,United States,66025,38.9416631,-95.0834012,false
 28 North Main Street,Columbiana,OH,44408,"",28,North Main Street,Columbiana,Columbiana County,Ohio,United States,44408,40.8895177,-80.6931968,false
 359 East Church Street,Bostic,NC,28018,"",359,East Church Street,Bostic,Rutherford County,North Carolina,United States,28018,35.3588253,-81.8272243,false
 7625 Mitchell Rd,Eden Prairie,MN,55344,"",7625,Mitchell Road,Eden Prairie,Hennepin County,Minnesota,United States,55344,44.8650163,-93.4584057,false
 1400 Mainstreet,Hopkins,MN,55343,"",1400,Mainstreet,Hopkins,Hennepin County,Minnesota,United States,55343,44.923806,-93.417811,false
 714 Second Street,Tylertown,MS,39667,"",714,2nd Street,Tylertown,Walthall County,Mississippi,United States,39667,31.1137817,-90.14066280000002,false
 4 Washington Avenue,North Haven,CT,6473,"",4,Washington Avenue,North Haven,New Haven County,Connecticut,United States,06473,41.3889217,-72.8602444,true
 740 Garfield,"Centerville,",SD,57014,"",740,Garfield Street,Centerville,Turner County,South Dakota,United States,57014,43.1161523,-96.95892649999999,true
 301 N. Third Street,Beresford,SD,57004,"",301,North 3rd Street,Beresford,Union County,South Dakota,United States,57004,43.0826995,-96.77420440000002,false
 410 Broad St,"Alcester,",SD,57001,"",410,Broad Street,Alcester,Union County,South Dakota,United States,57001,43.0238453,-96.632441,false
 441 W. Hwy 412,Siloam Springs,AR,72761,"",441,Highway 412 West,Siloam Springs,Benton County,Arkansas,United States,72761,36.173707,-94.5454525,true
 411 Water Street,Summersville,WV,26651,"",411,Water Street,Summersville,Nicholas County,West Virginia,United States,26651,38.282184,-80.85481000000001,false
 50 South Main Street,Concord,NH,3301,"",50,South Main Street,Concord,Merrimack County,New Hampshire,United States,03301,43.2006933,-71.5342799,true
