Name,seo-url,Address,City,State,Zip,Phone,Basic Services,Embalming,Dressing & Casketing,Facilities & Staff for Visitation,Facilities & Staff for Chapel Service,Transfer Vehicle to Funeral Home,Hearse,UtilityFlower Vehicle,Lead Car,Direct Cremation with Memorial Service ,Crematory Fee,Direct Cremation
Adams Crest Cremation Center,adams-crest-cremation-center,1501 W Main St,Collinsville,OK,74021,918-371-1178,1495,795,150,225,400,380,300,165,Not Available,3373,Included,2973
Adams Family Funeral Home,adams-family-funeral-home,404 Decatur Street,Cumberland,MD,21502,301-722-5700,2050,660,295,475,470,305,335,155,155,2295,300,1825
Adams Funeral Home,adams-funeral-home,7000 Webster Road,Cowen,WV,26206,304-226-3000,1040,650,163,255,485,200,250,175,Not Available,1665,245,1265
Adams Funeral Home,adams-funeral-home-01,307 Main Avenue Drive,Taylorsville,NC,28681,828-632-2291,995,575,95,325,325,195,185,125,100,1625,Included,1325
Adams Funeral Home,adams-funeral-home-02,300 W. Main Street,Adams,MN,55909,507-582-3461,3995,600,275,425,425,375,375,75,75,3075,Included,2650
Adams Funeral Home of Wilkes,adams-funeral-home-of-wilkes,55 Boone Trail,North Wilkesboro,NC,28659,336-667-0767,995,575,95,325,325,195,185,125,100,1625,Included,1325
Adams Funeral Homes & Cremation Service,adams-funeral-homes-cremation-service,35 Depot Street,Chester,VT,5143,802-875-2611,3425,720,295,195,455,590,370,150,250,2795,Included,2340
Adams Funeral Homes & Cremation Service,adams-funeral-homes-cremation-service-01,12 Meadow Street,Ludlow,VT,5149,802-228-4636,3425,720,295,195,455,590,370,150,250,2795,Included,2340
Adams-Green Funeral Home,adams-green-funeral-home,721 Elden Street,Herndon, VA,20170,703-437-1764,2195,850,275,525,675,380,360,110,Included,4450,Included,3775
Adams-Hill Funeral Home,adams-hill-funeral-home,502 Evans Street,Winchester,KY,40391,859-745-5799,679,500,Included,Included,Included,Included,Included,Included,Not Available,Not Available,Not Available,Not Available
Adams McFarlane Funeral Home,adams-mcfarlane-funeral-home,108 Court Street,Farmington,ME,4938,207-778-3350,1695,595,225,395,395,350,350,155,Not Available,2949,300,2554
Adams-Perfect Funeral Home,adams-perfect-funeral-home,5 N. 2nd Street,Pleasantville,NJ,8232,609-641-0065,2400,850,300,400,425,325,375,190,Not Available,3210,225,2150
Adams-Perfect Funeral Home,adams-perfect-funeral-home-01,1650 New,Northfield,NJ,8225,609-641-0065,2400,850,300,400,425,325,375,190,Not Available,3210,225,2150
Adams & Sons Mortuary,adams-sons-mortuary,306 Mechanic St,Hopkinsville,KY,42240,270-886-2300,1600,550,150,300,350,150,250,125,Not Available,1850,Not Available,1550
Adams-Stiefel Funeral Home,adams-stiefel-funeral-home,203 W. Broad St,Paulsboro,NJ,8066,856-423-0179,1295,695,275,700,700,275,300,200,95,2095,200,1395
Adamson-Austin Funeral Home,adamson-austin-funeral-home,403 West Divide Avenue,Drayton,ND,58225,701-454-3333,2690,895,275,375,475,275,325,75,Not Available,3290,380,2815
Adamson-Austin Funeral Home,adamson-austin-funeral-home-01,326 S Atlantic,Stephen,MN,56757,218-478-3680,2690,895,275,375,475,275,325,75,Not Available,3290,380,2815
Adamson Funeral & Cremation Services,adamson-funeral-cremation-services,2000 47th Avenue,Greeley,CO,80634,970-353-1212,1920,895,575,295,595,385,275,Included,Not Available,3285,Included,1485
Adamson's Sheridan Funeral Home,adamsons-sheridan-funeral-home,108 NW Lincoln St,Sheridan,OR,97378,503-843-2525,1995,499,195,285,599,499,199,195,Not Available,1994,Included,1395
Adcock Funeral Home & Crematory,adcock-funeral-home-crematory,2226 Lillington Hwy,Spring Lake,NC,28390,910-497-0171,1550,695,55,225,500,275,225,95,Not Available,2495,Included,1995
Adkins-Drain Funeral Service,adkins-drain-funeral-service,515 S 8th St,Wilmington,NC,28401,910-763-7117,900,350,75,225,225,150,200,100,Included,1125,Included,900
Adragna Obarzanek Funeral Home,adragna-obarzanek-funeral-home,33250 Ryan Road,Sterling Heights,MI,48310,586-939-7200,1000,800,300,800,600,300,300,100,Not Available,1695,180,1095
Adrian Funeral Home,adrian-funeral-home,105 Maine Avenue,Adrian,MN,56110,507-483-2700,1395,635,300,375,475,185,185,85,65,2490,Included,1995
Advantage Crystal Rose Funeral Home,advantage-crystal-rose-funeral-home,9155 W Van Buren Street,Tolleson,AZ,85353,623-936-3637,600,595,125,250,300,295,285,125,Not Available ,1415,Included,1115
Advantage Funeral and Cremation ServiceS,advantage-funeral-and-cremation-services,11211 W Michigan Ave,Youngtown,AZ,85363,623-979-7111,600,595,125,250,300,295,285,125,Not Available ,1415,Included ,1115
Advantage Funeral Home and Cremation Services,advantage-funeral-home-and-cremation-services,500 Harbins Road,Lilburn,GA,30047,770-923-2940,1395,1295,395,195,295,695,295,130,Not Available,1765,Included,1470
Advent Funeral & Cremation Services,advent-funeral-cremation-services,7211 Lee Highway,Falls Church,VA ,22046,703-241-7402,1995,875,225,800,895,595,550,100,100,2890,Included,2190
Adzima Funeral Home,adzima-funeral-home,50 Paradise Green Place,Stratford,CT,6614,203-375-2200,2400,1200,Included,1000,500,500,450,150,Not Available,4500,Included,4000
Affinity Mortuary Services,affinity-mortuary-services,1525 North Buckner,Derby,KS,67037,316-263-0707,1750,650,250,350,500,250,250,125,Not Available,1600,Included,1100
Affordable Burial & Cremation Company,affordable-burial-cremation-company,2164 NE East Devils Lake Rd,Lincoln City,OR,97367,541-265-7111,999,499,150,150,Not Available,250,275,95,Not Available,1345,Included,995
Affordable Burial & Cremation Company,affordable-burial-cremation-company-01,915 NE Yaquina Heights Dr,Newport,OR,97365,541-265-7111,995,495,195,295,Not Available,295,295,95,Not Available,1290,Included,895
Affordable Casket & Moanalua Mortuary,affordable-casket-moanalua-mortuary,1150 Kikowaena St,Honolulu,HI,96819,808-833-8811,1395,500,200,2200,1100,200,300,150,Not Available,1949,Included,849
Affordable Cremation,affordable-cremation,112 Main Street,East Hampton,CT,6424,855-347-2736,269,Not Available,Not Available,Not Available,950,125,Not Available,Not Available,Not Available,1925,Included,975
Affordable Cremation Services,affordable-cremation-services,403 W Country Club Blvd.,Elk City,OK,73648,405-521-8777,395,495,125,595,Not Available,125,Not Available,Not Available,Not Available,Not Available,Included,885
Affordable Funeral Options of Idaho,affordable-funeral-options-of-idaho,380 First Avenue East,Wendell,ID,83355,208-735-0011,2095,650,250,200,300,400,400,50,Not Available,2620,Included,2320
Agee Brothers Funeral Home,agee-brothers-funeral-home,905 Samaria Road,Clanton,AL,35045,205-755-5075,1295,750,150,325,Included,250,275,200,Included,1950,Included,1700
Agnew Funeral Home,agnew-funeral-home,1110 Baptist Hill,Greensboro,AL,36744,334-624-7717,1200,700,175,250,500,225,250,Included,Not Available,2900,Included,2400
Agnew & Sons Funeral Chapel,agnew-sons-funeral-chapel,101 Lafayette Street,Booneville,MS,38829,662-728-0047,1050,995,195,300,300,450,450,150,Not Available,1820,Included,1520
Agnew & Sons Funeral Home,agnew-sons-funeral-home,337 College Street,Verona,MS,38879,662-566-5546,1050,995,195,300,300,450,450,150,Not Available,1820,Included,1520
Agnew & Sons Funeral Home,agnew-sons-funeral-home-01,111 Water Street,Baldwyn,MS,38824,662-365-5541,1050,995,195,300,300,450,450,150,Not Available,1820,Included,1520
Ahearn Funeral Home,ahearn-funeral-home,783 Bridge Road,Northampton,MA,1061,413-587-0044,2150,575,240,150,675,250,350,65,85,2550,Not Available,2150
Ahern Funeral Home,ahern-funeral-home,111 Main,Unionville,CT,6085,860-673-2601,2375,895,150,695,825,353,450,300,Not Available,4500,330,3675
Aisenbrey-Kostel Funeral Home,aisenbrey-kostel-funeral-home,113 Park Street,Menno,SD,57045,605-387-5144,2550,1075,410,440,510,400,375,110,Not Available,4285,Included,3775
Akard Funeral Home,akard-funeral-home,1912 West State Street,Bristol,TN,37620,423-989-4800,1795,560,175,225,450,245,195,95,Not Available,2890,Included,2665
Akins Funeral Home,akins-funeral-home,823 Ocoee Street,Copperhill,TN,37317,423-496-5554,2295,780,Included,425,495,255,295,150,Not Available,3590,Included,3095
Akins Funeral Home,akins-funeral-home-01,7871 Blue Ridge Drive,Blue Ridge,GA,30513,706-632-2267,2295,780,Included,425,495,255,295,150,Not Available,3590,Included,3095
Akins Funeral Home,akins-funeral-home-02,13455 Highway 43,Russellville,AL,35653,256-332-1131,1800,600,130,250,250,250,300,100,Included,2195,Included,1945
AkkermanIngebrand Funeral Home,akkermaningebrand-funeral-home,932 S. Hwy 65,Mora,MN,55051,320-679-1933,2395,695,300,350,495,295,265,150,Not Available,2870,Included,2375
"Alamance Funeral Service, LLC",alamance-funeral-service-llc,605 E. Webb Avenue,Burlington,NC,27217,336-228-7070,1495,595,390,410,450,195,200,150,Not Available,1420,450,995
Albert & Burpee Funeral Service,albert-burpee-funeral-service,253 Pine Street,Lewiston,ME,4240,207-782-7201,1395,675,155,650,700,495,295,125,200,1795,Not Available,1095
Albertville Funeral Home,albertville-funeral-home,125 West Main Street,Albertville,AL,35950,256-891-1644,995,495,150,295,295,195,195,150,125,1890,550,1595
Albertville Memorial Chapel,albertville-memorial-chapel,5011 Hwy 431 S,Albertville,AL,35950,256-878-2424,2245,750,250,475,475,350,300,350,Not Available,2670,Included,2195
"Albright Funeral Home, Inc.",albright-funeral-home-inc,500 South Salem Sreet,Apex,NC,27502,919-362-8329,1595,600,140,275,275,210,285,75 Not Available ,Not Available,2070,Included,1795
Albritten's Funeral Service,albrittens-funeral-service,395 Cedar Hill Avenue SE,Dawson,GA,39842,229-995-5895,1500,600,150,150,Included,100,150,Included,Included,1500,Included,1500
Albritten's Funeral Service,albrittens-funeral-service-01,687 Andrew Street,Cuthbert,GA,39840,229-732-6194,1500,600,150,150,Included,100,150,Included,Included,1500,Included,1500
Albritton-Carraway Funeral Home,albritton-carraway-funeral-home,500 E. Blount St,Kinston,NC,28501,252-523-1366,1800,700,75,300,300,250,300,250,Not Available,1700,Not Available,1400
AlbrittonBeaumont Funeral Directors,albrittonbeaumont-funeral-directors,1020 Tift Avenue,Tifton,GA,31794,229-382-7550,1970,1085,110,350,430,325,325,150,150,3125,Not Available,2695
Alden-Harrington Funeral Home,alden-harrington-funeral-home,214 Oak Street,Bonner Springs,KS,66012,913-422-4074,2845,795,270,495,545,395,425,295,295,2508,Included,1988
Alderson Funeral Home,alderson-funeral-home,201 Meadow,Naugatuck,CT,6770,203-729-2253,2300,825,275,930,850,460,420,215,215,4500,Included,3650
Alderson Funeral Home,alderson-funeral-home-01,615 S. Main,Cheshire,CT,6410,203-272-7209,2300,825,275,930,850,460,420,215,215,4500,Included,3650
Aldous Funeral Home & Cremation Service,aldous-funeral-home-cremation-service,25 North Main St,Wallingford,VT,5773,802-773-6252,1895,555,295,450,550,395,425,210,210,2570,Not Available,2020
Aldous Funeral Home & Cremation Service,aldous-funeral-home-cremation-service-01,44 N Main St,Rutland,VT,5701,802-773-6252,1895,555,295,450,550,395,425,210,210,2570,Not Available,2020
Aldridge Funeral Service,aldridge-funeral-service,612 Rees Park,Americus,GA,31709,229-928-8683,2600,800,150,200,620,345,345,Not Available,Included,3815,500,3245
Alexander Funeral Home,alexander-funeral-home,209 E. Locust Street,Lafayette,TN,37083,615-666-2189,1995,650,100,450,500,Included,225,175,Not Available,2795,Included,2395
Alexander Funeral Home,alexander-funeral-home-01,584 Nashville Pike,Gallatin,TN,37066,615-452-2324,1740,650,100,395,395,125,190,Included,Not Available,2585,Not Available,2190
Alexander Funeral Home,alexander-funeral-home-02,509 W. Spring Street,Irvington,KY,40146,270-547-2712,1825,425,95,600,200,175,210,95,Not Available,1885,265,1685
Alexander Funeral Home,alexander-funeral-home-03,1424 Statesville Avenue,Charlotte,NC,28206,704-333-1167,2000,650,225,500,395,225,425,125,Not Available,1985,Not Available,1485
Alexander Funeral Home,alexander-funeral-home-04,214 E. Main Street,Ringling,OK,73456,580-662-2476,995,945,250,295,425,120,310,150,Not Available,2750,Included,2325
Alexander Funeral Home,alexander-funeral-home-05,1302 Seventh Street,Wilson,OK,73463,580-668-2426,995,945,250,295,425,120,310,150,Not Available,2750,Included,2325
Alexander & Royalty Funeral Home,alexander-royalty-funeral-home,304 East Lexington St.,Harrodsburg,KY,40330,859-734-3361,1995,995,395,550,550,295,250,95,Included,2227,210,1677
Alexander Thomas and Sons Funeral Home,alexander-thomas-and-sons-funeral-home,45 Common Street,Walpole,MA,2081,508-668-0154,2495,575,250,500,350,325,355,325,195,2285,Included,1935
Alexander's Gateway Chapel Funeral Home,alexanders-gateway-chapel-funeral-home,2721 Hwy 129 S,Cleveland,GA,30528,706-865-1500,1775,895,195,550,625,350,350,300,300,3120,Included,2495
Alexandria Funeral Home,alexandria-funeral-home,325 Washington Avenue,Alexandria,KY,41001,859-635-9590,2490,625,295,375,395,375,395,125,Not Available,2885,Included,2490
Alfred F. Wilson Funeral Home,alfred-f-wilson-funeral-home,116 Cleghorn Street,Villa Rica,GA,30180,770-459-3667,1495,550,Included,Included,Included,185,250,135,Not Available,995,Included,995
Alkire Funeral Home,alkire-funeral-home,Ireland Wildcat Road,Ireland,WV,26376,304-452-8939,1175,695,125,375,325,275,275,275,Not Available,2240,435,1915
All Faiths Funeral Home,all-faiths-funeral-home,2929 S. Locust St,Grand Island,NE,68801,308-398-2929,1990,890,250,200,415,350,200,200,100,3405,Included,2270
All State Cremation & Funeral Care,all-state-cremation-funeral-care,1300 Dixwell Avenue,Hamden,CT,6514,203-287-8000,Not Available,Not Available,Not Available,175,Not Available,297,Not Available,Not Available,Not Available,1548,Included,1248
All-States Cremation,all-states-cremation,3200 Wadsworth Blvd,Wheat Ridge,CO,80033,303-234-0200,580,445,275,250,250,250,400,Not Available,Not Available,1775,Included,1295
All-States Cremation,all-states-cremation-01,12002 Melody Drive,Westminster,CO,80021,303-234-0200,580,445,275,250,250,250,400,Not Available,Not Available,1775,Included,1295
All Veterans Burial & Cremation,all-veterans-burial-cremation,3200 Wadsworth Blvd,Wheat Ridge,CO,80033,303-234-0911,1995,345,325,350,250,550,400,Not Available,Not Available,1775,Included,1295
All Veterans Burial & Cremation,all-veterans-burial-cremation-01,4725 S. Broadway,Englewood,CO,80110,800-766-7007,1995,345,325,350,250,550,400,Not Available,Not Available,1775,Included,1295
Allen & Allen Funeral Service,allen-allen-funeral-service,110 W. Hansell,Thomasville,GA,31799,229-226-6331,1785,675,150,175,390,190,175,135,135,1985,Included,1595
Allen & Associates Mortuary Inc,allen-associates-mortuary-inc,508 Summit Avenue,Greensboro,NC,27405,336-378-1440,1350,700,100,200,400,150,300,150,Not Available,1500,Not Available,1100
Allen Funeral Home,allen-funeral-home,2837 Main Street,Hurricane,WV,25526,304-562-9711,2325,625,290,300,300,325,340,105,Not Available,2055,Included,1755
Allen Funeral Home,allen-funeral-home-01,9136 Davison Road,Davison,MI,48423,810-653-2171,1995,760,225,395,495,260,260,95,95,1905,210,1410
Allen Funeral Home,allen-funeral-home-02,313 N. Prairie Street N,Union Springs,AL,36089,334-738-2690,2195,600,150,200,300,295,295,150,150,1745,Included,1595
Allen Funeral Home,allen-funeral-home-03,203 East Temperance Street ,Bloomington,IN,47401,812-824-5905,2750,945,295,620,620,295,395,Not Available ,Not Available,2815,Included ,2195
Allison & Rose Funeral Home,allison-rose-funeral-home,1021 Madison Avenue,Covington,KY,41011,859-261-0146,1995,800,300,700,900,275,350,Not Available,Not Available,4000,275,2500
Allnutt Funeral Service,allnutt-funeral-service,2100 N Lincoln Ave,Loveland,CO,80538,970-667-1121,2095,995,275,350,450,350,300,Not Available,Not Available,2920,Included,2470
Allnutt Funeral Service,allnutt-funeral-service-01,702 13th Street,Greeley,CO,80631,970-352-3366,2095,995,275,350,450,350,300,Not Available,Not Available,2920,Included,2470
Allnutt Funeral Service,allnutt-funeral-service-02,1302 Graves Ave,Estes Park,CO,80517,970-586-3101,2095,995,275,350,450,350,300,Not Available,Not Available,2920,Included,2470
Allo Coolman Funeral Homes,allo-coolman-funeral-homes,400 S. 10th Street,Escanaba,MI,49829,906-786-2142,3650,500,400,375,375,350,345,Included,Included,3890,275,3515
Allore Funeral Home-Monroe Chapel,allore-funeral-home-monroe-chapel,203 E. Elm,Monroe,MI,48162,734-241-5225,1245,440,140,320,450,215,310,155,80,2365,230,1915
Allore-Martenson Funeral HomeFord Chapel,allore-martenson-funeral-homeford-chapel,23620 N. Huron River,Rockwood,MI,48173,734-379-9311,1270,600,165,375,570,215,295,155,80,3290,Not Available,2720
Allwood Funeral Home,allwood-funeral-home,660-670 Allwood Road,Clifton,NJ,7012,973-773-6666,2975,875,575,950,950,350,400,175,200,3870,285,2495
Almlie Funeral Home,almlie-funeral-home,1110 11th Street,Westbrook,MN,56183,507-274-5464,2695,635,360,240,370,325,360,245,Not Available,2265,Included,1895
Almlie Funeral Home,almlie-funeral-home-01,444 Craig Avenue,Tracy,MN,56175,507-629-4510,2695,635,360,240,370,325,360,245,Included,2265,Included,1895
Almlie Funeral Home,almlie-funeral-home-02,140 2nd St.,Balaton,MN,56115,507-734-6411,2695,635,360,240,370,325,360,245,Not Available,2265,Included,1895
Almon Funeral Home,almon-funeral-home,548 Newnan Street,Carrollton,GA,30117,770-832-7056,1980,675,175,425,475,295,295,175,Included,2440,325,1990
Aloia Funeral Home,aloia-funeral-home,180 Harrison,Garfield,NJ,7026,973-340-7077,1890,995,350,850,450,310,340,310,260,1206,225,756
Alpha Cremation Service,alpha-cremation-service,480 Elm Street,Biddeford,ME,4005,800-283-8094,1675,475,125,595,595,375,295,125,Included,2380,Included,1785
Alpha-Omega Burial & Cremation,alpha-omega-burial-cremation,1852 E. College Way,Mount Vernon,WA,98273,360-424-3531,595,495,225,225, Not Available,225,395, Not Available, Not Available,1815,350,1020
Alpharetta South Care Cremation Society-Alpharetta Chapel,alpharetta-south-care-cremation-society-alpharetta-chapel,2260 Old Milton Parkway,Alpharetta,GA,30009,678-735-5500,1855,595,175,395,495,420,395,125,Not Available,2150,Included,1655
Alsip & Persons Funeral Chapel,alsip-persons-funeral-chapel,404 10th Avenue S,Nampa,ID,83651,208-466-3545,1795,795,245,495,595,495,395,225,Not Available,3625,Included,1945
Alston-Anderson Funeral Home,alston-anderson-funeral-home,904 South Main Street,Louisburg,NC,27549,919-496-4887,350,325,125,125,125,125,150,75,Included,1250,Included,1125
Altmeyer Funeral Home Lutes & Kirby-Vance Chapel,altmeyer-funeral-home-lutes-kirby-vance-chapel,118 Grant Avenue,Moundsville,WV,26041,304-845-4560,2745,1275,370,395,495,395,375,215,215,4335,Included,3840
Altmeyer Funeral Home South Wheeling Chapel,altmeyer-funeral-home-south-wheeling-chapel,3828 Jacob Street,Wheeling,WV,26003,304-232-5444,2745,1275,370,395,495,395,375,215,215,4335,Included,3840
Altmeyer Funeral Home Wheeling Chapel,altmeyer-funeral-home-wheeling-chapel,1400 Eoff Street,Wheeling,WV,26003,304-232-0330,2745,1275,370,395,495,395,375,215,215,4335,Included,3840
Altmeyer Funeral Homes - Denbigh Chapel,altmeyer-funeral-homes-denbigh-chapel,12893 Jefferson Ave.,Newport News,VA,23608,757-874-4200,2450,1175,375,475,550,495,375,300,Not Available,5355,Included,3115
Altmeyer Funeral Homes - Maestas  Chapel,altmeyer-funeral-homes-maestas-chapel,1801 Baltic Ave,Virginia Beach, VA,23451,757-428-1112,2450,1175,375,475,550,495,375,300,Not Available,5355,Included ,3115
Altmeyer Funeral Homes - Riverside Chapel,altmeyer-funeral-homes-riverside-chapel,7415 River Road,Newport News,VA,23607,757-245-1525,2450,1175,375,475,550,495,375,300,Not Available,5355,Included,3115
Altmeyer Funeral Homes - Southside Chapel,altmeyer-funeral-homes-southside-chapel,5792 Greenwich Road,Virginia Beach,VA,23462,757-480-4000,2450,1175,375,475,550,495,375,300,Not Available ,5355,Included,3115
Alvis Miller & Son Funeral Home,alvis-miller-son-funeral-home,304 W. Elm Street,Rockmart,GA,30153,770-684-5437,1995,795,115,495,495,225,225,150,95,2390,Included,1995
Ambrose Funeral Home,ambrose-funeral-home,1200 Garfield,Bay City,MI,48708,989-895-9601,1070,650,250,695,695,250,250,Included,125,1540,235,955
American Burial & Cremation,american-burial-cremation,320 6th St,Springfield,OR,97477,541-726-9935,993,533,163,133,653,363,433,125,49,1641,Included,988
American Cremation & Casket Alliance,american-cremation-casket-alliance,3803 132nd Place Northeast,Marysville,WA,98271,360-651-9233,495,495,100,250,Not Available ,395,385,Not Available,Not Available ,1187,Included ,597
American Cremation & Casket Alliance,american-cremation-casket-alliance-01,"1201 Pacific Avenue,Suite 600",Tacoma, WA,98402,253-588-1901,495,495,100,250,Not Available ,395,385,Not Available,Not Available,1187,Included,592
American Cremation & Casket Alliance ,american-cremation-casket-alliance-02,6100 219th SW Suite 460,Mountlake Terrace,WA,98043,800-398-7101,495,495,100,250,Not Available,395,385,Not Available,Not Available,1187,Included,592
American Cremation & Casket Alliance ,american-cremation-casket-alliance-03,718 Lebo Blvd,Bremerton,WA,98310,800-398-7101,495,495,100,250, Not Available ,395,385,Not Available ,Not Available ,1187,Included ,592
American Memorial AssociationBellvue ,american-memorial-associationbellvue,"10655 NE 4Th St, Suite 400",Bellevue,WA,98004,425-455-9665,750,350,95,285,450,350,350,195,250,982,Not Available ,597
American Memorial AssociationEverett ,american-memorial-associationeverett,3125 Colby Ave,Everett,WA,98201,425-355-9539,750,350,95,285,450,350,350,195,250,982,Not Available,597
American Memorial AssociationOlympia,american-memorial-associationolympia,924 Capitol Way South,Olympia,WA,98501,360-956-0647,750,350,95,285,450,350,350,195,250,982,Not Available,597
American Memorial AssociationRenton,american-memorial-associationrenton,100 Blaine Avenue NE,Renton,WA,98056,425-255-7479,750,350,95,285,450,350,350,195,250,982,Not Available,597
American  Memorial AssociationTacoma ,american-memorial-associationtacoma,7401 South Pine Street,Tacoma,WA,98409,253-627-0599,750,350,95,285,450,350,350,195,250,982,Not Available,597
Ames Funeral Home ,ames-funeral-home,8914 Quarry Rd.,Manassas,VA,20110,703-368-2814,1400,600,200,400,600,250,350,150,Not Available ,2710,Included,2110
AmlingSchroede r Funeral Service - Bandon Chapel,amlingschroede-r-funeral-service-bandon-chapel,125 8th St SW,Bandon,OR,97411,541-347-2907,1295,475,225,250,595,345,195,175,Not Available,1790,Included,1195
