Name,seo-url,Address,City,State,Zip,Phone,Basic Services,Embalming,Dressing & Casketing,Facilities & Staff for Visitation,Facilities & Staff for Chapel Service,Transfer Vehicle to Funeral Home,Hearse,UtilityFlower Vehicle,Lead Car,Direct Cremation with Memorial Service ,Crematory Fee,Direct Cremation
Walter Funeral Home,walter-funeral-home-01,553 S. Juniper,"Freeman,",SD,57029,605-925-4259,1995,595,390,415,650,350,200,100,Not Available,3315,Included,2665
Walter Funeral Home,walter-funeral-home-02,201 N. Cherry Avenue,Bridgewater,SD,57319,605-729-2502,1995,595,390,415,650,350,200,100,Not Available,3315,Included,2665
Walter J. Johnson Funeral Home,walter-j-johnson-funeral-home,803 Raritan Rd.,Clark,NJ,7066,732-382-6262,1495,895,420,950,475,300,300,Not Available,Not Available,1640,155,1165
"Walter J. Manning Funeral Home, Inc.",walter-j-manning-funeral-home-inc,700 North 25th Street,Richmond,VA,23223,804-643-8738,1365,695,175,295,295,250,350,100,150,1755,Included,1460
Walter Sanders Funeral Home,walter-sanders-funeral-home,302 S. Brightleaf Blvd,Smithfield,NC,27577,919-934-6661,1495,400,200,225,300,175,350,150,Included,1500,Included,1250
Walters Funeral Home,walters-funeral-home,509 East Central Avenue,La Follette,TN,37766,423-562-2424,2195,645,Included,495,495,275,270,Included,Not Available,2070,Included,1575
Wappner Funeral Directors,wappner-funeral-directors,100 S. LexingtonSpringmill,Ontario,OH,44906,419-529-2323,2240,495,195,245,495,250,215,95,Included,2445,175,1950
Ward Wilson Memory Hill Funeral Home & Cemetery,ward-wilson-memory-hill-funeral-home-cemetery,2414 Hartford Highway,Dothan,AL,36305,334-792-4194,3335,695,250,250,350,225,295,295,Not Available,2435,Included,2085
Wards Funeral Home,wards-funeral-home,758 Main Street SW,Gainesville,GA,30501,770-534-5351,1740,740,75,385,385,160,160,100,100,2335,Included,1950
Wards Funeral Home,wards-funeral-home-01,231 Huguley Road,Valley,AL,36854,334-756-8066,1095,895,175,275,Not Available,225,275,Not Available,Not Available,2125,Included,1775
Ward's Klamath Funeral Home,wards-klamath-funeral-home,1945 Main St,Klamath Falls,OR,97601,541-882-4404,1300,310,100,Included,350,250,300,100,Not Available,1865,Included,1615
Ware Funeral Home,ware-funeral-home,846 US Hwy 27 N,Cynthiana,KY,41031,859-234-4000,2295,1375,250,600,650,350,425,125,Not Available,3315,325,2865
